part_number,time_period,mode,OrderQty,ArrivalQty
part1,1,P,0.0,0.0
part1,1,R,0.0,0.0
part1,2,P,0.0,0.0
part1,2,R,0.0,0.0
part1,3,P,0.0,0.0
part1,3,R,0.0,0.0
part1,4,P,0.0,0.0
part1,4,R,0.0,0.0
part1,5,P,0.0,0.0
part1,5,R,0.0,0.0
part1,6,P,0.0,0.0
part1,6,R,0.0,0.0
part1,7,P,0.0,0.0
part1,7,R,0.0,0.0
part1,8,P,0.0,0.0
part1,8,R,0.0,0.0
part1,9,P,0.0,0.0
part1,9,R,0.0,0.0
part1,10,P,0.0,0.0
part1,10,R,0.0,0.0
part1,11,P,0.0,0.0
part1,11,R,0.0,0.0
part1,12,P,0.0,0.0
part1,12,R,0.0,0.0
part1,13,P,0.0,0.0
part1,13,R,0.0,0.0
part10,1,P,0.0,0.0
part10,1,R,1000.0,0.0
part10,2,P,0.0,0.0
part10,2,R,1000.0,0.0
part10,3,P,0.0,0.0
part10,3,R,1000.0,0.0
part10,4,P,0.0,0.0
part10,4,R,1000.0,0.0
part10,5,P,0.0,0.0
part10,5,R,1000.0,1000.0
part10,6,P,0.0,0.0
part10,6,R,1000.0,1000.0
part10,7,P,0.0,0.0
part10,7,R,1000.0,1000.0
part10,8,P,0.0,0.0
part10,8,R,1000.0,1000.0
part10,9,P,0.0,0.0
part10,9,R,1000.0,1000.0
part10,10,P,1000.0,0.0
part10,10,R,0.0,1000.0
part10,11,P,1000.0,1000.0
part10,11,R,0.0,1000.0
part10,12,P,1000.0,1000.0
part10,12,R,0.0,1000.0
part10,13,P,0.0,1000.0
part10,13,R,0.0,1000.0
part100,1,P,0.0,0.0
part100,1,R,2943.0,0.0
part100,2,P,0.0,0.0
part100,2,R,0.0,0.0
part100,3,P,0.0,0.0
part100,3,R,0.0,0.0
part100,4,P,0.0,0.0
part100,4,R,0.0,0.0
part100,5,P,0.0,0.0
part100,5,R,0.0,0.0
part100,6,P,0.0,0.0
part100,6,R,10269.0,2943.0
part100,7,P,0.0,0.0
part100,7,R,9963.0,0.0
part100,8,P,0.0,0.0
part100,8,R,10080.0,0.0
part100,9,P,0.0,0.0
part100,9,R,0.0,0.0
part100,10,P,0.0,0.0
part100,10,R,0.0,0.0
part100,11,P,0.0,0.0
part100,11,R,0.0,10269.0
part100,12,P,0.0,0.0
part100,12,R,0.0,9963.0
part100,13,P,0.0,0.0
part100,13,R,0.0,10080.0
part1000,1,P,0.0,0.0
part1000,1,R,0.0,0.0
part1000,2,P,0.0,0.0
part1000,2,R,0.0,0.0
part1000,3,P,0.0,0.0
part1000,3,R,0.0,0.0
part1000,4,P,0.0,0.0
part1000,4,R,0.0,0.0
part1000,5,P,0.0,0.0
part1000,5,R,0.0,0.0
part1000,6,P,0.0,0.0
part1000,6,R,0.0,0.0
part1000,7,P,0.0,0.0
part1000,7,R,0.0,0.0
part1000,8,P,0.0,0.0
part1000,8,R,0.0,0.0
part1000,9,P,0.0,0.0
part1000,9,R,0.0,0.0
part1000,10,P,0.0,0.0
part1000,10,R,0.0,0.0
part1000,11,P,0.0,0.0
part1000,11,R,0.0,0.0
part1000,12,P,0.0,0.0
part1000,12,R,0.0,0.0
part1000,13,P,0.0,0.0
part1000,13,R,0.0,0.0
part101,1,P,0.0,0.0
part101,1,R,546.0,0.0
part101,2,P,0.0,0.0
part101,2,R,0.0,0.0
part101,3,P,0.0,0.0
part101,3,R,0.0,0.0
part101,4,P,0.0,0.0
part101,4,R,8281.0,546.0
part101,5,P,0.0,0.0
part101,5,R,8078.0,0.0
part101,6,P,0.0,0.0
part101,6,R,7749.0,0.0
part101,7,P,0.0,0.0
part101,7,R,8435.0,8281.0
part101,8,P,0.0,0.0
part101,8,R,7987.0,8078.0
part101,9,P,0.0,0.0
part101,9,R,7749.0,7749.0
part101,10,P,0.0,0.0
part101,10,R,7840.0,8435.0
part101,11,P,0.0,0.0
part101,11,R,0.0,7987.0
part101,12,P,0.0,0.0
part101,12,R,0.0,7749.0
part101,13,P,0.0,0.0
part101,13,R,0.0,7840.0
part102,1,P,0.0,0.0
part102,1,R,0.0,0.0
part102,2,P,0.0,0.0
part102,2,R,0.0,0.0
part102,3,P,0.0,0.0
part102,3,R,0.0,0.0
part102,4,P,0.0,0.0
part102,4,R,0.0,0.0
part102,5,P,0.0,0.0
part102,5,R,0.0,0.0
part102,6,P,0.0,0.0
part102,6,R,0.0,0.0
part102,7,P,0.0,0.0
part102,7,R,0.0,0.0
part102,8,P,0.0,0.0
part102,8,R,0.0,0.0
