part_number,time_period,Inventory,PositiveSlack,NegativeSlack,DemandSlack
part1,1,8616.0,0.0,2000.0,0.0
part1,2,17528.0,0.0,2000.0,0.0
part1,3,26256.0,0.0,2000.0,0.0
part1,4,34304.0,0.0,2000.0,0.0
part1,5,43032.0,0.0,2000.0,0.0
part1,6,52176.0,0.0,2000.0,0.0
part1,7,60312.0,0.0,2000.0,0.0
part1,8,68680.0,0.0,2000.0,0.0
part1,9,77424.0,0.0,2000.0,0.0
part1,10,85384.0,0.0,2000.0,0.0
part1,11,93856.0,0.0,2000.0,0.0
part1,12,85000.0,0.0,2000.0,0.0
part1,13,76040.0,0.0,2000.0,0.0
part10,1,8616.0,0.0,0.0,0.0
part10,2,17528.0,0.0,0.0,0.0
part10,3,26256.0,0.0,0.0,0.0
part10,4,34304.0,0.0,0.0,0.0
part10,5,26432.0,0.0,0.0,0.0
part10,6,18976.0,0.0,0.0,0.0
part10,7,10512.0,0.0,0.0,0.0
part10,8,2280.0,0.0,0.0,0.0
part10,9,0.0,0.0,0.0,5576.0
part10,10,0.0,0.0,0.0,8640.0
part10,11,0.0,0.0,0.0,7128.0
part10,12,0.0,0.0,0.0,6856.0
part10,13,0.0,0.0,1000.0,6960.0
part100,1,9693.0,0.0,17307.0,0.0
part100,2,19719.0,0.0,20250.0,0.0
part100,3,29538.0,0.0,20250.0,0.0
part100,4,38592.0,0.0,20250.0,0.0
part100,5,48411.0,0.0,20250.0,0.0
part100,6,41841.0,0.0,9981.0,0.0
part100,7,31194.0,0.0,10287.0,0.0
part100,8,20808.0,0.0,10170.0,0.0
part100,9,10845.0,0.0,20250.0,0.0
part100,10,0.0,0.0,20250.0,0.0
part100,11,0.0,0.0,20250.0,0.0
part100,12,0.0,0.0,20250.0,0.0
part100,13,0.0,0.0,20250.0,0.0
part1000,1,14001.0,0.0,29250.0,0.0
part1000,2,28483.0,0.0,29250.0,0.0
part1000,3,42666.0,0.0,29250.0,0.0
part1000,4,55744.0,0.0,29250.0,0.0
part1000,5,69927.0,0.0,29250.0,0.0
part1000,6,84786.0,0.0,29250.0,0.0
part1000,7,98007.0,0.0,29250.0,0.0
part1000,8,111605.0,0.0,29250.0,0.0
part1000,9,125814.0,0.0,29250.0,0.0
part1000,10,110149.0,0.0,29250.0,0.0
part1000,11,95316.0,0.0,29250.0,0.0
part1000,12,80925.0,0.0,29250.0,0.0
part1000,13,66365.0,0.0,29250.0,0.0
part101,1,7539.0,0.0,15204.0,0.0
part101,2,15337.0,0.0,15750.0,0.0
part101,3,22974.0,0.0,15750.0,0.0
part101,4,15162.0,0.0,7469.0,0.0
part101,5,7399.0,0.0,7672.0,0.0
part101,6,0.0,0.0,8001.0,0.0
part101,7,0.0,0.0,7315.0,0.0
part101,8,0.0,0.0,7763.0,0.0
part101,9,0.0,0.0,8001.0,0.0
part101,10,0.0,0.0,7910.0,0.0
part101,11,0.0,0.0,15750.0,0.0
part101,12,0.0,0.0,15750.0,0.0
part101,13,0.0,0.0,15750.0,0.0
part102,1,1077.0,0.0,2250.0,0.0
part102,2,2191.0,0.0,2250.0,0.0
part102,3,3282.0,0.0,2250.0,0.0
part102,4,4288.0,0.0,2250.0,0.0
part102,5,5379.0,0.0,2250.0,0.0
part102,6,6522.0,0.0,2250.0,0.0
part102,7,7539.0,0.0,2250.0,0.0
part102,8,8585.0,0.0,2250.0,0.0
part102,9,9678.0,0.0,2250.0,0.0
part102,10,10673.0,0.0,2250.0,0.0
part102,11,9532.0,0.0,2250.0,0.0
part102,12,8425.0,0.0,2250.0,0.0
part102,13,7305.0,0.0,2250.0,0.0
part103,1,0.0,-0.0,0.0,0.0
part103,2,0.0,-0.0,0.0,0.0
part103,3,0.0,-0.0,0.0,0.0
part103,4,0.0,-0.0,0.0,0.0
part103,5,0.0,-0.0,0.0,0.0
part103,6,0.0,-0.0,0.0,0.0
part103,7,0.0,-0.0,0.0,0.0
part103,8,0.0,-0.0,0.0,0.0
part103,9,0.0,-0.0,0.0,0.0
part103,10,0.0,-0.0,0.0,0.0
part103,11,0.0,-0.0,0.0,0.0
part103,12,0.0,-0.0,0.0,0.0
part103,13,0.0,-0.0,0.0,0.0
part104,1,1077.0,0.0,2172.0,0.0
part104,2,2191.0,0.0,2250.0,0.0
part104,3,3282.0,0.0,2250.0,0.0
part104,4,2166.0,0.0,1067.0,0.0
part104,5,1057.0,0.0,1096.0,0.0
part104,6,0.0,0.0,1143.0,0.0
part104,7,0.0,0.0,1045.0,0.0
part104,8,0.0,0.0,1109.0,0.0
part104,9,0.0,0.0,1143.0,0.0
